Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-44,1,-22.2064,-12.9751,-7.55501,-134.322
-43,1,-22.206,-12.9854,-7.7853,-134.712
-42,1,-22.1988,-12.9915,-8.01586,-135.101
-41,1,-22.1848,-12.9935,-8.2466,-135.49
-40,1,-22.164,-12.9913,-8.47746,-135.879
-39,1,-22.1363,-12.9849,-8.70835,-136.267
-38,1,-22.1019,-12.9743,-8.93919,-136.655
-37,1,-22.0606,-12.9596,-9.16991,-137.042
-36,1,-22.0126,-12.9407,-9.40043,-137.428
-35,1,-21.9578,-12.9176,-9.63066,-137.813
-34,1,-21.8962,-12.8904,-9.86053,-138.198
-33,1,-21.8279,-12.8589,-10.09,-138.581
-32,1,-21.7529,-12.8233,-10.3189,-138.963
-31,1,-21.6712,-12.7836,-10.5472,-139.343
-30,1,-21.5828,-12.7397,-10.7748,-139.723
-29,1,-21.4878,-12.6917,-11.0017,-140.1
-28,1,-21.3862,-12.6395,-11.2277,-140.476
-27,1,-21.278,-12.5832,-11.4529,-140.85
